headline,short_description,authors,date
Will Content Marketing Replace Traditional Sales?,"The ZMOT isn't a new discussion point. In fact it has been written about thousands of times with as many different perspectives, but for businesses that are slow to adopt or that still think digital and social are fads, the takeaways are becoming more and more important.","Daniel Newman, ContributorAuthor ""Building Dragons: Digital Transformation in the Experi...",2014-08-13
3 Simple Steps Towards Mindfulness,"After 22 years in the workforce, I recently set out on a quest for a greater sense of purpose in my job. What I found had a profound impact on my life both at work and at home. Enter: Mindfulness.","General Mills, ContributorMaking lives healthier, easier and richer for 148 years",2014-08-12
IMF May Be Right in Suggesting Countries Raise Fuel Taxes,"It's tough to find any drivers who relish digging into their wallets to fill up at the pump. According to the International Monetary Fund, though, not only should fuel taxes jump by more than 50 percent, the increase should have Canadians whistling a happy tune. Now, here's the real kicker: The IMF is right.","Jeffrey Rubin, ContributorFormer Chief Economist, CIBC World Markets",2014-08-12
The Post Office Lost $2 Billion In Just 3 Months,,,2014-08-11
States Where It's Hardest To Find Full-Time Work,,,2014-08-10
Amazon Wants You To Fight Its Battle With Hachette,,Emily Cohn,2014-08-09
"Women in Business Q&A: Michelle Zatlyn, Co-Founder of CloudFlare","Michelle Zatlyn creates products people love. Growing up in Canada, she earned a degree in Chemistry and now applies the scientific method to improving businesses.","Laura Dunn, ContributorSocial Media and Communications Professional, Founder and Edit...",2014-08-09
Remembering to Give a Positive Review,,"Andrew Benkovic, ContributorWriter",2014-08-07
5 Tips to Boost Native Advertising Effectiveness,,"Ernan Roman, ContributorPresident, Ernan Roman Direct Marketing",2014-08-06
Minnesota Café Charges 35 Cent 'Fee' To Protest Minimum Wage Hike,,Alexander C. Kaufman,2014-08-06
Victory for Americans: Walgreen's Won't 'Invert' to Avoid U.S. Taxes.,"As conservatives have been telling us since the wave of inversions began, we can't expect corporations to be ""moral"" or ""patriotic."" If we write the rules that let them get away with immoral and unpatriotic betrayal of U.S. taxpayers, they will do it.  So the next order of business is to get Congress to pass legislation.","Roger Hickey, ContributorCo-Director, Campaign for America's Future",2014-08-06
Why We Need to Stop Measuring Success in Six Figures,"At my very first ""career"" job, my salary was $28,000 a year. After years of working low paying jobs to pay my college expenses and subsist, I thought I had it made. I was happy and ready to take on the world.","Maggie Patterson, ContributorCommunications strategist, entrepreneur, podcaster, blogger",2014-08-05
The Remarkable Legacy of Warren Bennis,,"Bill George, ContributorSenior Fellow, Harvard Business School",2014-08-04
The Remarkable Legacy of Warren Bennis,"ust as Peter Drucker was ""the father of management,"" Warren Bennis will be remembered as ""the father of leadership."" It was Warren who first said leadership is not a set of genetic characteristics, but rather the result of the lifelong process of self-discovery.","Bill George, ContributorSenior Fellow, Harvard Business School",2014-08-04
McDonald's CEO 'Under Siege' At Home And Abroad,,,2014-08-03
GM Website Gave False Information About Recalls,,Kevin Short,2014-08-02
Relabeling Your Way to Start Practicing Grateful Living,"You and I know that there are literally hundreds of reasons to be grateful for. But, in your busy life, it is something that is easy to forget and move to the other end of the spectrum where you start taking things for granted.","Rajesh Setty, ContributorSerial entrepreneur",2014-08-02
When Business Etiquette Resembles a Competitive Dating Scene,"While sitting in a coffee shop in Manhattan, I overheard a conversation between two women that I suspect happens, on average, every 3 seconds in the world.","Sabine Kobayter , ContributorScientist, strategist, lecturer and entrepreneur",2014-08-01
"Obamacare Is More Unpopular Than Ever, Poll Shows",,Jeffrey Young,2014-08-01
The Sharing Economy at a Crossroads,"Zipcar and Airbnb demonstrate the power of the sharing economy, which has taken off with the simple promise of liberating people from the hassles and costs of ownership and overpriced commercial services.","Kyle Hutzler, ContributorYale University '14",2014-07-31
Doing Business the Old-Fashioned Way: Face to Face,"The excitement and energy buzzing around with other entrepreneurs and small business owners  is truly inspiring, not to mention, the opportunities for business and joint ventures that arise due to meeting and personally connecting.","Julie Barnes, ContributorImpacting the world through story!",2014-07-31
Mind Your Manners Tips for Effective Cross-Cultural Communications,"Communicating across cultures in the business world can often be confusing and uncertain, but it doesn't need to be.  With a little bit of homework and open-mindedness you can avoid some of the pitfalls.","Colette A.M.Phillips, ContributorPresident CPCGlobal helps companies expand both their market s...",2014-07-30
How Walmart's Bosses Get Rich Off Welfare Abuse,"Forget about the guy at the grocery store using food stamps to buy lobster. Walmart, the world's largest retail company, is even more dependent on government welfare so it can make jaw-droppingly obscene profits.","C. Robert Gibson, ContributorIndependent journalist published in Guardian, the Washington P...",2014-07-30
This Is The Way 'Williamsburg' Ends,,Hunter Stuart,2014-07-30
"Rick Ross Wants You To Eat At His Restaurants, But Don't Bring Your Gun",,Alexander C. Kaufman,2014-07-29
Joint Venture: Business Agreement for International Trade,"You must keep in mind that a joint venture is particularly aimed at obtaining the respective commercial benefits, but does not include all business or economic activities of the participating members.","Darilyn Aquino, ContributorDAQS Group CEO and Founder",2014-07-29
The Export-Import Bank Debate: Tempest in the Tea Party Pot,The charter of the Export-Import Bank (Ex-Im Bank or Bank) must be reauthorized by the end of September. Given the current heated debate it is likely that its fate will not be determined until the 11th hour.,"Frank Islam and Ed Crego, Contributors",2014-07-29
Women And Minorities Are Punished For Promoting Women And Minorities At Work: Study,,Jillian Berman,2014-07-28
How to Know if You've Been Blindsided by Data,"To paraphrase the Scottish poet Andrew Lang, don't use data as a drunken man uses a lamp post -- for support rather than illumination.","David Hassell, ContributorCEO, 15Five",2014-07-28
Floor Pizza and the New Mediocrity,"As the quality of life continues to decline in America, I've been wracking my fevered brain for the single, perfect image to represent our downward spiraling dystopia. Like the ""Grand Unification"" theory sought by physicists.","Joseph A. Domino, ContributorAdjunct Professor, Retired",2014-07-28
Beyond the Bylaws: A Clarification of Nonprofit Board Responsibilities,A nonprofit director's duties may be much more difficult than those of a for-profit board member.,"Eugene Fram, ContributorProfessor Emeritus, Saunders College of Business, Rochester In...",2014-07-27
The SHEvolution Is Coming,"This trend is changing the world, and I'm thrilled. At first, it tiptoes in quietly. On stilettos. Then suddenly and seemingly out of nowhere, comes its deafening blast. Women are rising. Never before have we so aggressively, efficiently, fearlessly and successfully pursued our goals.","Faith Popcorn, ContributorFounder and CEO, Faith Popcorn's BrainReserve; Best-selling au...",2014-07-26
5 Tips To Make Overworked Employees Feel Valued,"When long hours can't be avoided, here are five impactful tips that can make your employees feel valued and comfortable when putting in extra hours.","Karen Miller, ContributorSenior Vice President, People, Grubhub",2014-07-25
